0.63,0.67,0.61,0.61,0.67,0.34,0.61,0.58
0.69,0.67,0.65,0.64,0.69,0.47,0.64,0.62
0.63,0.67,0.59,0.58,0.6,0.36,0.46,0.43
0.60,0.65,0.58,0.63,0.64,0.41,0.49,0.46
0.62,0.65,0.59,0.69,0.67,0.38,0.51,0.41
0.45,0.51,0.38,0.29,0.36,0.48,0.36,0.33
0.60,0.62,0.49,0.52,0.53,0.32,0.67,0.44
0.56,0.62,0.46,0.46,0.47,0.35,0.44,0.45
